Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9,target
1,0,0,1,0,1,0,0,0,1,0
0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,1,1,1,0,1,1,1
1,1,1,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,0,0,1,1
0,0,1,0,1,0,0,0,0,1,0
1,1,0,1,1,1,1,0,0,0,1
0,1,1,0,0,0,1,1,0,1,1
1,0,1,1,1,0,1,1,1,1,1
1,0,1,0,1,0,0,1,1,0,1
0,0,0,1,1,0,0,1,0,0,1
1,0,1,1,1,1,0,1,1,0,1
1,0,1,0,0,0,1,1,0,1,1
0,1,1,0,1,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,1
0,1,0,1,0,1,0,0,0,0,0
0,1,1,0,1,1,0,1,1,0,1
0,0,1,1,1,1,0,1,1,1,1
1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,1,1,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,1,1,0,1,0,1
1,1,0,1,0,0,0,0,0,1,0
0,1,1,0,1,1,1,1,1,0,1
1,0,0,0,0,1,1,0,1,0,1
1,0,0,0,0,1,1,1,0,1,1
1,1,1,0,0,1,1,1,0,0,1
1,1,0,1,1,0,0,1,0,1,1
1,0,0,0,1,1,0,1,1,0,1
1,1,0,1,1,0,1,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,1,0,0,1
0,0,1,1,1,0,1,1,0,1,1
0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,0,1,0,0,1,1,1
1,0,1,0,0,1,1,1,0,0,1
1,1,1,0,0,0,1,0,1,1,1
0,1,1,0,0,1,1,1,0,1,1
1,0,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1,1
0,1,1,1,0,0,1,0,0,0,1
0,1,0,0,1,1,0,0,0,1,0
0,1,1,0,0,0,1,1,1,1,1
1,0,1,1,1,1,0,0,1,1,1
1,1,0,1,0,0,1,0,0,1,0
0,0,1,0,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,1,1
0,1,1,0,1,1,1,1,0,1,1
1,1,0,0,0,1,1,1,0,1,1
1,1,1,0,0,0,1,1,0,1,1
0,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,1,1,0,1,1,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0
0,1,1,0,1,1,0,1,0,0,1
0,1,0,0,1,0,0,0,0,0,0
0,1,1,1,1,1,0,1,1,0,1
1,0,1,1,1,0,1,0,1,0,1
0,1,0,0,1,0,0,0,1,0,0
1,0,1,1,1,1,1,0,0,0,1
0,1,1,1,1,0,0,1,0,1,1
1,1,1,0,1,0,1,1,1,1,1
0,0,0,1,1,0,0,1,0,1,1
0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0,1,0,1
0,0,1,1,1,1,1,0,1,0,1
0,1,0,0,1,1,0,0,1,1,1
0,0,1,1,0,0,0,0,1,1,1
0,1,1,1,1,0,0,0,1,1,1
1,1,1,1,1,1,1,0,0,1,1
0,1,1,0,1,1,0,1,0,1,1
0,1,1,1,0,1,1,1,0,0,1
0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,1,0,1,0,0,1,1
1,1,0,0,0,1,1,0,1,1,1
1,0,1,0,0,0,1,0,0,0,0
1,0,1,1,1,0,0,1,1,0,1
1,0,1,0,0,0,1,0,0,1,0
1,1,0,1,1,1,1,0,0,1,1
0,0,1,0,0,0,1,0,1,1,1
0,1,0,1,1,1,1,1,1,0,1
1,0,1,1,0,1,0,1,0,0,1
1,0,1,0,1,0,0,0,1,1,1
1,1,0,1,0,1,1,0,1,1,1
0,0,1,1,1,1,0,1,0,0,1
1,0,1,1,0,1,1,0,1,0,1
0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,1,1,1,1
1,0,1,1,1,0,0,1,1,1,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,1,1,0,0,1
0,1,1,0,1,1,1,0,1,0,1
1,1,1,0,1,0,1,0,0,1,1
1,1,1,1,1,1,0,0,1,0,1
0,1,0,1,1,0,1,0,1,0,1
1,0,1,1,1,0,0,0,0,0,1
0,0,0,1,1,1,0,1,1,0,1
1,1,0,1,1,1,1,0,1,1,1
1,0,1,1,0,0,1,0,1,1,1
1,1,1,0,0,0,0,0,1,1,0
1,0,0,1,0,1,0,0,1,1,1
1,0,0,1,1,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0,1,1
1,1,1,1,0,1,0,1,0,0,1
0,0,0,0,1,1,0,0,1,0,1
1,1,0,1,1,1,1,1,0,0,1
0,1,1,0,1,0,1,0,0,0,1
1,1,0,0,1,1,1,0,0,0,1
1,1,0,1,0,1,1,1,0,1,1
0,0,1,0,1,1,0,1,0,1,1
1,0,0,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,1,1,1,1,0,0,1
1,1,1,1,0,1,1,0,1,1,1
1,0,1,0,1,0,1,1,1,0,1
1,1,0,0,0,1,0,1,1,1,1
0,0,0,0,1,0,1,1,1,0,1
0,0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,1,0
1,0,0,0,1,1,0,0,0,0,0
1,1,1,0,0,0,0,1,1,1,1
0,1,1,1,0,1,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1,0
0,1,1,1,0,1,0,1,0,1,1
1,1,1,1,1,0,1,0,1,1,1
1,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,1,1,0,1,1,1
1,0,1,0,0,1,1,1,0,1,1
0,0,1,0,0,0,0,0,1,1,0
0,0,1,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0
1,1,0,1,1,0,1,0,1,0,1
0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,1,1,1
1,1,0,1,1,1,0,1,0,0,1
0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,0,1,1,1
0,0,0,1,0,0,0,0,1,0,0
1,1,1,1,0,0,1,1,1,0,1
0,1,1,0,0,1,0,0,1,0,1
0,0,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,1,1,1,1,1
0,0,1,0,1,1,0,1,1,1,1
0,1,1,0,1,0,1,0,1,0,1
0,0,0,0,0,1,1,1,1,0,1
1,1,0,0,1,1,1,1,1,0,1
1,0,0,1,0,0,1,0,1,1,1
0,1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,1,1,0,0,0
0,1,1,1,1,0,0,1,0,0,1
0,0,0,0,1,0,1,0,0,1,0
0,0,1,1,1,1,1,1,1,1,1
0,0,0,1,0,1,1,0,1,0,1
1,0,0,1,0,1,0,1,1,0,1
1,0,0,0,1,0,1,0,1,0,1
1,0,0,1,1,1,1,0,1,0,1
1,1,1,0,0,0,0,1,1,0,1
0,0,0,1,1,0,0,1,1,1,1
0,1,1,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,0,0,0
1,1,0,0,0,0,1,1,1,1,1
1,0,0,1,0,0,1,0,0,1,0
0,1,0,1,1,1,0,0,0,1,1
0,0,0,1,1,1,0,1,1,1,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,1,1,1,1
1,1,0,0,0,0,0,1,0,0,0
0,1,1,0,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1,1,1
0,0,0,1,0,1,0,1,1,0,1
1,0,0,0,0,1,1,0,0,0,0
0,0,1,1,1,0,0,0,0,1,1
1,1,1,0,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,1,1,1,1
1,1,1,1,0,1,1,1,1,0,1
0,0,1,1,0,1,1,1,0,1,1
0,1,0,1,1,1,0,0,1,0,1
1,1,1,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,1,0,0,1
1,1,0,0,0,1,0,1,0,1,0
1,1,0,1,0,0,1,1,1,1,1
1,0,0,1,1,1,0,1,1,0,1
0,0,1,0,0,1,0,1,0,1,1
1,0,1,1,1,0,0,1,0,1,1
0,0,1,0,0,1,0,1,0,0,1
1,1,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0
0,1,1,1,1,1,0,1,0,1,1
1,0,1,0,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1,0,0,1
1,1,0,1,0,0,0,0,1,1,0
1,1,0,1,1,1,0,0,1,1,1
0,1,1,0,0,0,1,0,1,1,1
0,0,1,1,0,0,0,0,0,1,0
0,1,0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,1,0,1,1,1
1,1,0,0,1,1,0,1,1,1,1
1,0,1,0,1,0,0,1,1,1,1
1,0,0,1,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,1,0,1
0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,0,1,1
0,1,1,1,0,0,1,1,0,1,1
1,0,0,1,1,0,1,1,1,1,1
1,0,0,1,1,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1,0,1
1,0,0,0,1,0,1,1,1,0,1
1,1,0,0,1,1,0,1,0,0,1
0,1,1,1,1,1,0,0,0,1,1
1,0,1,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,1,1,0,1
0,1,1,1,1,0,1,1,1,0,1
0,0,0,0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,0,1,1,1
1,1,1,0,0,1,0,1,1,0,1
0,0,1,0,1,0,0,0,1,1,1
0,1,0,1,1,0,0,0,0,1,0
0,1,0,0,1,0,1,0,1,1,1
1,0,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,1,1,0,0,1
1,0,1,0,1,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,0,1
1,1,0,0,0,0,0,1,0,1,0
0,0,0,1,0,1,1,0,0,1,1
0,1,0,1,0,0,0,0,1,1,0
0,1,1,1,1,1,0,0,1,1,1
0,0,0,0,1,0,0,1,0,1,0
1,0,1,0,1,1,0,0,0,0,1
1,1,1,0,0,1,0,1,0,1,1
1,0,1,1,1,0,0,0,0,1,1
1,0,1,0,1,1,0,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,1,1,1,0,0,0,1
0,1,0,0,0,0,1,0,0,1,0
1,1,1,0,1,0,1,1,0,1,1
1,1,1,1,0,1,1,0,1,0,1
1,1,0,1,0,1,0,0,1,0,1
0,0,0,1,0,0,1,1,1,1,1
0,1,1,1,0,0,0,0,1,0,1
0,0,1,1,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,1,0,0,1
1,1,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,1,1,0,1,1
0,0,1,1,1,0,1,0,1,1,1
1,1,0,1,1,0,0,1,1,0,1
0,1,0,1,1,1,0,1,0,0,1
0,1,1,0,1,1,0,0,0,0,1
1,0,0,0,1,1,1,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,1,0,1,1,1
0,1,0,0,0,0,0,0,0,1,0
0,1,1,1,0,0,0,0,1,1,1
1,0,0,1,0,0,1,0,1,0,1
0,1,0,1,0,0,1,1,1,1,1
0,1,0,0,1,0,1,1,1,0,1
0,1,1,0,1,1,0,1,1,1,1
0,0,1,1,0,1,1,1,0,0,1
0,1,0,0,0,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,1,0,1,1
1,1,1,1,1,1,0,1,0,0,1
0,0,1,0,0,1,1,0,1,1,1
1,1,1,0,0,1,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,0,1,1
1,1,0,1,0,0,0,1,1,1,1
1,0,0,1,1,0,0,1,1,1,1
1,0,1,1,1,0,1,0,1,1,1
1,1,0,1,0,1,1,0,0,1,1
0,0,0,1,0,0,1,0,1,1,1
0,1,1,1,1,0,1,0,0,0,1
0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0
1,1,1,0,0,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,1,0,1
1,0,1,0,1,0,1,0,1,0,1
0,0,1,1,1,0,0,0,1,0,1
1,1,1,0,0,0,0,1,0,1,0
1,1,0,1,1,0,0,0,0,1,0
0,0,0,0,1,1,0,1,1,0,1
1,0,1,1,0,1,1,1,0,1,1
0,1,1,0,1,0,1,1,1,1,1
0,1,0,0,0,1,1,0,0,1,0
0,1,1,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,1,0
1,1,1,1,1,0,0,0,0,1,1
0,1,0,1,0,1,0,0,1,1,1
0,1,0,0,1,0,1,0,1,0,1
1,1,0,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,1,0,1
1,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,1,1,1,0,1,1
0,0,0,0,1,1,0,0,1,1,1
0,1,0,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1,1
0,1,1,0,0,1,0,0,1,1,1
1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,1,1,1
1,0,1,1,0,0,0,1,1,1,1
0,1,0,1,0,1,1,0,1,0,1
0,1,0,1,0,0,1,1,0,1,1
0,0,1,0,1,1,0,0,0,0,1
0,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,0,1,0,1,1,1
1,0,1,1,0,1,0,1,1,0,1
1,1,0,1,0,1,0,0,1,1,1
0,1,1,0,1,1,1,0,1,1,1
1,0,1,1,0,1,0,1,0,1,1
0,0,0,1,1,1,1,1,0,0,1
1,1,0,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,1
1,1,1,0,1,1,1,1,0,1,1
0,0,0,1,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0
1,1,1,1,1,0,0,1,0,0,1
1,1,0,1,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,0,0,1
0,1,1,1,1,0,1,0,1,0,1
1,1,1,1,0,0,1,0,1,1,1
0,0,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,0,1,0,1,0,0,1
1,0,0,1,0,0,0,1,0,1,0
0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0,0,1,0,1,1,0
0,1,0,1,1,0,0,1,1,1,1
0,0,1,1,1,1,0,0,0,0,1
1,0,0,1,1,0,1,0,0,1,1
1,1,0,1,1,0,1,1,1,0,1
0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,1,0
1,1,0,0,1,1,0,0,1,1,1
0,1,1,0,1,0,0,1,1,1,1
0,1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,1,0,1,1,0,1
1,0,0,1,1,1,1,0,1,1,1
0,0,1,0,0,0,1,1,0,0,1
0,0,1,0,1,1,0,0,1,0,1
0,1,1,1,1,1,1,0,0,0,1
1,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,1,1,0,0,0,1
0,0,1,1,0,1,1,0,1,1,1
0,1,1,0,0,1,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,0,0,1,1,1,0,0,1,1
1,0,0,0,1,0,1,1,1,1,1
0,1,0,0,1,1,1,1,0,0,1
1,0,0,0,0,0,0,1,1,0,0
0,0,0,1,1,0,0,0,1,1,1
0,1,1,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1
0,1,1,1,0,1,0,0,1,1,1
1,0,1,1,1,1,0,1,0,0,1
0,1,1,0,1,0,1,1,0,0,1
0,0,1,1,0,1,0,1,1,1,1
0,0,1,1,0,1,1,0,0,0,1
0,1,1,1,1,1,0,1,1,1,1
0,1,1,1,0,1,0,0,0,1,1
1,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,1,0,0,1,1
1,1,0,0,1,1,1,0,0,1,1
0,0,0,1,1,1,1,0,1,1,1
1,0,0,1,1,1,1,0,0,0,1
0,1,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,1,1,0,1
0,0,1,0,0,1,0,1,1,0,1
0,0,0,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,0,1,1
1,0,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1,0,0,1
0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1,0,1
1,0,0,0,0,1,1,1,1,1,1
0,1,0,1,1,1,0,1,1,1,1
1,0,1,0,0,1,1,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,0,1,0,1,0,0,1
1,1,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,1,0,1
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,1,1,0,0,1,0,1
1,0,1,1,1,0,1,1,0,0,1
1,0,1,0,1,1,0,0,1,0,1
1,0,1,1,0,1,0,0,1,1,1
1,0,0,1,0,0,0,0,0,1,0
0,1,1,0,1,1,1,0,0,0,1
0,1,1,1,1,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1,1,1
1,0,1,0,0,0,0,1,1,1,1
1,0,1,0,1,0,1,0,1,1,1
1,0,0,1,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,1,0,1,0,1,0,1
0,0,1,1,0,0,1,0,1,1,1
1,1,1,1,1,0,0,0,1,0,1
0,1,1,0,1,1,0,0,0,1,1
1,1,1,1,1,0,0,1,1,1,1
0,1,1,0,1,0,0,1,1,0,1
0,0,1,1,0,1,1,0,0,1,1
1,0,0,1,1,1,1,1,0,0,1
0,0,0,1,1,0,1,1,0,1,1
0,0,1,0,0,1,1,1,0,1,1
1,0,1,1,1,1,1,1,0,1,1
1,1,0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,0,1
0,1,0,1,0,1,1,1,1,1,1
0,0,1,0,0,1,0,1,1,1,1
0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,1,1,0,0,0,1
0,0,1,1,1,0,0,1,1,0,1
0,1,1,0,1,1,0,0,1,1,1
0,0,1,0,0,0,1,1,1,0,1
1,0,1,1,0,0,0,1,0,1,1
0,0,0,1,1,1,0,0,1,1,1
1,1,0,0,0,0,1,0,1,0,0
1,1,0,0,0,1,0,0,1,1,0
1,1,0,1,1,1,0,0,0,0,1
1,1,0,0,1,1,1,1,0,1,1
0,0,0,1,1,1,1,1,0,1,1
0,0,1,0,1,0,1,0,1,1,1
0,1,1,0,0,1,1,0,1,0,1
1,1,0,1,0,1,1,0,0,0,1
1,0,1,0,0,0,1,1,0,0,1
0,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,0,1,0,1,1,0
1,0,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,0,1,0,1
1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,0,1
1,0,0,0,1,1,0,1,1,1,1
1,1,1,0,0,1,1,0,1,1,1
1,1,1,0,1,1,1,1,1,0,1
0,1,1,1,0,1,1,1,0,1,1
0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,0
0,1,0,0,1,1,0,0,1,0,1
1,0,1,0,1,1,0,1,0,0,1
0,0,1,1,0,1,0,0,0,0,1
1,0,1,1,1,1,1,1,0,0,1
0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1,0
0,0,0,1,0,1,0,0,1,0,1
1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,0
1,1,0,0,1,0,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,1
0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,1,0,0,0,1,0
0,0,0,1,1,1,1,0,1,0,1
1,1,1,1,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,1,0,1
0,0,1,1,0,1,0,1,1,0,1
0,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,1,0
1,1,1,0,0,1,0,1,0,0,1
0,1,1,0,1,0,0,0,1,0,1
0,1,0,0,1,0,1,1,0,0,1
1,0,1,1,0,0,0,0,0,1,0
1,0,1,0,1,0,1,1,0,1,1
1,0,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,1,1
1,0,1,1,0,1,1,0,0,1,1
0,1,1,1,1,1,1,1,0,1,1
0,1,0,1,0,1,1,0,1,1,1
1,0,0,0,0,0,0,1,1,1,0
1,0,1,0,0,1,1,1,1,1,1
1,1,0,0,0,1,1,0,1,0,1
0,0,0,1,1,1,1,0,0,1,1
1,0,0,0,1,1,0,0,1,1,1
0,0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,1,1
0,0,1,0,1,0,1,1,1,1,1
0,1,0,1,0,1,1,1,1,0,1
1,1,0,0,1,0,1,1,1,0,1
1,0,0,1,1,1,1,1,1,0,1
1,0,0,1,0,0,1,1,0,1,1
1,1,1,1,1,1,0,1,1,0,1
1,1,0,1,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,0,1,1,1,0,1
0,1,0,1,1,0,0,0,1,0,1
0,0,0,1,1,0,1,0,0,0,1
0,0,0,0,1,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1,1,1
0,1,0,1,1,1,1,0,1,0,1
0,1,1,0,1,1,0,0,1,0,1
0,1,1,1,1,1,1,0,1,0,1
0,0,1,1,1,1,0,0,1,1,1
0,1,0,0,1,1,0,1,1,1,1
0,0,0,1,0,1,1,1,0,0,1
1,1,1,0,1,0,0,0,1,1,1
0,1,1,1,0,1,0,0,1,0,1
1,1,1,0,1,0,0,1,1,0,1
1,1,0,0,0,1,0,1,0,0,0
1,1,1,1,0,1,0,1,1,1,1
1,1,1,1,0,1,0,0,1,0,1
0,1,0,0,0,0,1,1,1,0,1
1,0,1,1,0,0,1,0,1,0,1
0,0,1,0,1,0,1,1,0,1,1
1,1,1,1,1,1,1,0,0,0,1
1,1,0,1,1,1,0,1,0,1,1
1,1,0,1,0,1,0,1,1,1,1
1,0,0,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,0,0,1,1
1,0,0,0,0,1,0,0,1,1,0
1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,1,1
1,0,1,0,0,0,1,1,1,1,1
0,1,1,1,0,1,1,1,1,0,1
0,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,0,1,1,0,1,1
0,1,1,0,0,0,1,1,1,0,1
0,0,0,1,0,0,0,1,1,0,1
1,1,0,0,1,0,0,1,0,1,0
0,0,1,1,1,0,0,0,1,1,1
1,1,1,0,0,0,0,1,0,0,0
1,1,0,1,1,0,0,1,1,1,1
1,0,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,0,0,1,0,1
1,0,1,1,0,0,1,0,0,1,1
0,0,0,1,1,0,1,1,1,1,1
1,1,0,1,0,0,1,1,1,0,1
1,0,1,1,0,0,0,0,1,0,1
0,1,0,1,1,1,0,0,0,0,1
0,1,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,1,1,0,1
0,0,0,1,0,1,1,0,0,0,1
1,1,1,1,0,0,0,1,1,1,1
1,0,1,0,0,1,0,0,1,1,1
1,1,1,0,1,0,0,1,1,1,1
1,1,1,1,0,0,0,1,0,0,1
0,1,1,0,0,0,0,1,1,1,1
1,0,1,1,0,1,1,1,0,0,1
0,1,0,1,0,0,1,0,0,0,0
0,1,1,0,0,1,1,0,1,1,1
1,1,0,0,1,1,0,0,0,1,0
0,0,1,1,1,1,1,0,0,0,1
0,0,1,1,0,1,1,0,1,0,1
0,1,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,1,1,1,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,0,0,1,1,1,1,1
0,0,1,1,0,0,1,1,0,1,1
0,1,1,0,1,0,1,1,1,0,1
0,1,1,1,1,0,0,0,0,1,1
0,0,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,0,1,0,1
1,0,1,0,1,0,1,1,0,0,1
1,1,0,1,1,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0,0,1
1,0,1,0,1,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,0,1
0,1,0,1,1,0,0,1,0,0,1
1,0,1,1,0,0,0,1,1,0,1
1,0,0,0,1,0,0,1,0,1,0
1,1,1,1,1,0,0,0,1,1,1
1,0,1,1,0,1,0,0,1,0,1
0,1,0,0,1,1,1,0,0,1,1
1,0,1,1,1,1,1,0,1,0,1
0,1,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,1,1,1,1,1
1,0,1,1,1,1,0,1,0,1,1
0,0,0,0,0,1,1,0,1,0,1
1,0,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,1,0,0,1,0
1,0,1,0,1,0,1,0,0,0,1
1,1,0,1,0,0,1,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,1,0,1,1
1,0,1,1,1,0,1,0,0,1,1
0,1,1,1,0,0,0,1,0,1,1
0,0,1,1,1,1,1,1,0,0,1
0,1,0,0,1,1,0,1,0,0,1
1,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,0,0,1,1,0,1
1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,0,0,1,1,0,0
0,0,1,1,0,1,0,1,0,1,1
0,1,0,1,1,0,0,1,1,0,1
1,1,1,1,0,0,0,0,1,1,1
