Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,target
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,45.0,88.0,2.0,11.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
20.0,12.0,9.0,7.0,12.0,7.0,12.0,9.0,8.0,5.0,4.0,4.0,6.0,7.0,6.0,4.0,2.0,2.0,47.0,78.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,6.0,10.0,0.0,4
20.0,0.0,9.0,7.0,12.0,7.0,12.0,15.0,8.0,5.0,4.0,1.0,32.0,38.0,4.0,5.0,2.0,2.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,4
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
20.0,12.0,9.0,7.0,12.0,7.0,12.0,9.0,8.0,5.0,4.0,4.0,6.0,7.0,6.0,4.0,2.0,2.0,47.0,78.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,6.0,10.0,0.0,4
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
19.0,1.0,9.0,7.0,12.0,7.0,12.0,14.0,8.0,5.0,2.0,4.0,2.0,23.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,5.0,7.0,13.0,0.0,2
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
22.0,3.0,9.0,7.0,12.0,7.0,15.0,8.0,8.0,5.0,5.0,4.0,45.0,20.0,6.0,4.0,3.0,1.0,47.0,77.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,3
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
14.0,4.0,9.0,7.0,12.0,7.0,11.0,12.0,8.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,6.0,3.0,47.0,81.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,3.0,7.0,11.0,0.0,5
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
5.0,0.0,9.0,7.0,12.0,7.0,9.0,14.0,8.0,5.0,4.0,2.0,32.0,32.0,6.0,4.0,2.0,2.0,47.0,75.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,8.0,0.0,4
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,45.0,88.0,2.0,11.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,8.0,7.0,11.0,7.0,15.0,17.0,7.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
10.0,10.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,1.0,45.0,68.0,3.0,4.0,3.0,3.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,3
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
20.0,0.0,9.0,7.0,12.0,7.0,12.0,15.0,8.0,5.0,4.0,1.0,32.0,38.0,4.0,5.0,2.0,2.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,4
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
20.0,0.0,9.0,7.0,12.0,7.0,12.0,15.0,8.0,5.0,4.0,1.0,32.0,38.0,4.0,5.0,2.0,2.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,4
0.0,20.0,9.0,7.0,12.0,7.0,9.0,14.0,8.0,5.0,4.0,2.0,32.0,36.0,6.0,4.0,2.0,2.0,47.0,75.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,8.0,0.0,4
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,20.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,16.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,4
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,19.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,16.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,19.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,3
0.0,20.0,9.0,7.0,12.0,7.0,9.0,14.0,8.0,5.0,4.0,2.0,32.0,36.0,6.0,4.0,2.0,2.0,47.0,75.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,8.0,0.0,4
0.0,29.0,9.0,7.0,12.0,7.0,15.0,15.0,8.0,5.0,5.0,1.0,45.0,40.0,4.0,4.0,2.0,1.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,4
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
0.0,11.0,9.0,7.0,12.0,7.0,15.0,13.0,8.0,5.0,5.0,2.0,45.0,11.0,4.0,4.0,2.0,4.0,47.0,83.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,4
0.0,29.0,9.0,7.0,12.0,7.0,15.0,15.0,8.0,5.0,5.0,1.0,45.0,40.0,4.0,4.0,2.0,1.0,47.0,76.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,5.0,9.0,0.0,2
23.0,31.0,7.0,7.0,10.0,7.0,15.0,17.0,6.0,5.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,48.0,88.0,1.0,13.0,1.0,15.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,2
19.0,1.0,9.0,7.0,12.0,7.0,14.0,16.0,8.0,5.0,4.0,4.0,28.0,47.0,4.0,5.0,4.0,5.0,47.0,87.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,2
19.0,1.0,9.0,7.0,12.0,7.0,13.0,15.0,8.0,5.0,3.0,3.0,32.0,49.0,4.0,5.0,4.0,5.0,47.0,85.0,3.0,13.0,2.0,20.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,2
19.0,1.0,9.0,7.0,12.0,7.0,12.0,14.0,8.0,5.0,2.0,4.0,2.0,23.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,5.0,7.0,13.0,0.0,2
14.0,4.0,9.0,7.0,12.0,7.0,11.0,12.0,8.0,5.0,3.0,1.0,3.0,2.0,4.0,5.0,6.0,3.0,47.0,81.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,3.0,7.0,11.0,0.0,5
14.0,23.0,9.0,7.0,12.0,7.0,14.0,11.0,8.0,5.0,4.0,2.0,5.0,16.0,6.0,4.0,6.0,3.0,47.0,80.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,7.0,7.0,13.0,0.0,5
14.0,23.0,9.0,7.0,12.0,7.0,10.0,10.0,8.0,5.0,3.0,1.0,37.0,31.0,3.0,3.0,6.0,3.0,44.0,79.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,5
23.0,31.0,4.0,4.0,6.0,4.0,15.0,17.0,3.0,4.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,36.0,88.0,0.0,13.0,2.0,20.0,0,0,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,4.0,4.0,6.0,4.0,15.0,17.0,3.0,4.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,36.0,88.0,0.0,13.0,2.0,20.0,0,1,1.0,1.0,8.0,8.0,14.0,1.0,5
23.0,31.0,4.0,4.0,6.0,4.0,15.0,17.0,3.0,4.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,35.0,88.0,0.0,13.0,2.0,18.0,0,1,1.0,1.0,8.0,8.0,14.0,1.0,5
23.0,31.0,6.0,4.0,7.0,4.0,15.0,17.0,4.0,4.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,60.0,3.0,13.0,2.0,20.0,0,0,2.0,0.0,8.0,8.0,14.0,2.0,5
23.0,31.0,6.0,4.0,7.0,4.0,7.0,8.0,4.0,4.0,1.0,2.0,41.0,48.0,5.0,4.0,5.0,4.0,43.0,59.0,3.0,13.0,2.0,20.0,1,0,0.0,2.0,8.0,8.0,14.0,0.0,4
23.0,31.0,6.0,4.0,7.0,4.0,15.0,17.0,4.0,4.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,58.0,3.0,13.0,2.0,20.0,0,0,2.0,0.0,8.0,8.0,14.0,2.0,5
23.0,31.0,6.0,4.0,7.0,4.0,6.0,6.0,4.0,4.0,1.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,47.0,56.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,6.0,13.0,0.0,4
7.0,23.0,6.0,4.0,7.0,4.0,12.0,9.0,4.0,4.0,1.0,2.0,44.0,68.0,3.0,3.0,1.0,4.0,48.0,82.0,3.0,13.0,2.0,18.0,0,1,2.0,0.0,8.0,8.0,14.0,2.0,1
23.0,31.0,3.0,6.0,12.0,7.0,4.0,9.0,4.0,4.0,0.0,1.0,43.0,22.0,5.0,4.0,5.0,1.0,47.0,71.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,7.0,13.0,0.0,3
23.0,31.0,3.0,6.0,12.0,7.0,11.0,12.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,42.0,68.0,3.0,13.0,2.0,20.0,1,0,0.0,0.0,2.0,6.0,13.0,0.0,2
4.0,12.0,3.0,6.0,12.0,7.0,11.0,12.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,42.0,68.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,6.0,13.0,0.0,2
4.0,1.0,3.0,6.0,12.0,7.0,11.0,12.0,4.0,4.0,2.0,3.0,4.0,28.0,4.0,5.0,4.0,5.0,47.0,54.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,2
23.0,31.0,2.0,6.0,8.0,7.0,15.0,17.0,5.0,4.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,34.0,88.0,2.0,9.0,2.0,10.0,1,0,1.0,1.0,8.0,8.0,14.0,1.0,1
2.0,14.0,5.0,6.0,12.0,7.0,11.0,12.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,42.0,68.0,3.0,13.0,2.0,20.0,1,1,0.0,0.0,2.0,6.0,13.0,0.0,2
2.0,21.0,5.0,6.0,12.0,7.0,11.0,12.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,5.0,4.0,5.0,47.0,54.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,2
23.0,31.0,3.0,4.0,12.0,6.0,15.0,17.0,4.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,53.0,3.0,13.0,2.0,20.0,1,0,0.0,0.0,2.0,6.0,14.0,0.0,2
23.0,31.0,5.0,4.0,6.0,6.0,15.0,17.0,5.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,33.0,88.0,2.0,8.0,2.0,9.0,1,0,1.0,1.0,8.0,8.0,14.0,1.0,5
23.0,31.0,6.0,4.0,11.0,6.0,15.0,17.0,4.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,51.0,3.0,13.0,2.0,20.0,1,0,2.0,2.0,8.0,8.0,14.0,2.0,4
10.0,12.0,5.0,6.0,7.0,4.0,13.0,14.0,4.0,4.0,2.0,4.0,40.0,29.0,6.0,4.0,1.0,5.0,47.0,84.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,5.0,7.0,13.0,0.0,1
23.0,31.0,5.0,6.0,7.0,4.0,8.0,16.0,4.0,4.0,2.0,3.0,22.0,42.0,5.0,4.0,5.0,5.0,47.0,69.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,1.0,7.0,13.0,0.0,1
17.0,1.0,5.0,5.0,7.0,6.0,13.0,14.0,4.0,3.0,2.0,4.0,38.0,27.0,6.0,4.0,4.0,1.0,47.0,84.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,5.0,7.0,13.0,0.0,5
23.0,31.0,5.0,7.0,9.0,4.0,13.0,8.0,8.0,3.0,4.0,2.0,20.0,41.0,5.0,3.0,5.0,2.0,43.0,59.0,3.0,13.0,2.0,20.0,1,0,0.0,2.0,8.0,8.0,14.0,0.0,4
23.0,31.0,5.0,7.0,6.0,4.0,15.0,17.0,5.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,49.0,88.0,2.0,12.0,2.0,8.0,1,0,1.0,1.0,8.0,8.0,14.0,1.0,5
0.0,18.0,5.0,7.0,9.0,4.0,14.0,13.0,8.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,3.0,47.0,50.0,3.0,13.0,2.0,18.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,5
0.0,18.0,5.0,7.0,9.0,4.0,14.0,13.0,8.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,3.0,47.0,50.0,3.0,13.0,2.0,20.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,5
0.0,18.0,5.0,7.0,9.0,4.0,14.0,13.0,8.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,3.0,47.0,50.0,3.0,13.0,2.0,18.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,5
8.0,22.0,5.0,7.0,9.0,4.0,15.0,5.0,8.0,3.0,5.0,3.0,45.0,10.0,1.0,1.0,4.0,5.0,32.0,49.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,2
8.0,22.0,5.0,7.0,9.0,4.0,15.0,5.0,8.0,3.0,5.0,3.0,45.0,10.0,1.0,1.0,4.0,5.0,32.0,49.0,3.0,13.0,2.0,20.0,1,1,2.0,2.0,8.0,8.0,14.0,2.0,2
23.0,31.0,2.0,7.0,5.0,4.0,15.0,17.0,2.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,31.0,88.0,0.0,13.0,2.0,20.0,0,0,1.0,1.0,8.0,8.0,14.0,1.0,4
23.0,31.0,5.0,7.0,9.0,4.0,3.0,7.0,8.0,3.0,2.0,4.0,22.0,24.0,5.0,4.0,5.0,1.0,47.0,48.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,2.0,4.0,14.0,0.0,1
23.0,31.0,5.0,7.0,9.0,4.0,9.0,4.0,8.0,3.0,0.0,0.0,16.0,14.0,5.0,3.0,5.0,1.0,47.0,46.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,3.0,7.0,0.0,3
23.0,31.0,5.0,7.0,9.0,4.0,15.0,17.0,8.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,38.0,44.0,3.0,13.0,2.0,20.0,1,0,2.0,2.0,8.0,8.0,14.0,2.0,3
4.0,1.0,5.0,7.0,9.0,4.0,11.0,12.0,8.0,3.0,2.0,3.0,7.0,66.0,4.0,5.0,4.0,5.0,47.0,54.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,6.0,13.0,0.0,4
23.0,31.0,5.0,7.0,9.0,4.0,13.0,15.0,8.0,3.0,0.0,1.0,43.0,62.0,5.0,5.0,5.0,1.0,47.0,65.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,7.0,13.0,0.0,4
23.0,31.0,2.0,7.0,4.0,4.0,15.0,17.0,1.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,33.0,88.0,2.0,7.0,2.0,7.0,1,0,1.0,1.0,8.0,8.0,14.0,1.0,1
23.0,31.0,5.0,7.0,9.0,4.0,15.0,17.0,8.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,42.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,7.0,11.0,0.0,4
6.0,9.0,5.0,7.0,9.0,4.0,2.0,8.0,8.0,3.0,1.0,4.0,24.0,30.0,6.0,4.0,3.0,4.0,47.0,77.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,6.0,13.0,0.0,3
23.0,31.0,5.0,7.0,9.0,4.0,5.0,7.0,8.0,3.0,2.0,3.0,22.0,21.0,5.0,5.0,5.0,5.0,47.0,55.0,3.0,13.0,2.0,20.0,0,0,0.0,0.0,4.0,6.0,13.0,0.0,3
23.0,31.0,5.0,3.0,9.0,4.0,15.0,17.0,8.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,41.0,3.0,13.0,2.0,20.0,0,0,2.0,0.0,8.0,8.0,14.0,2.0,1
23.0,31.0,5.0,3.0,9.0,4.0,15.0,17.0,8.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,40.0,3.0,13.0,2.0,20.0,0,0,2.0,0.0,8.0,8.0,14.0,2.0,2
23.0,31.0,5.0,3.0,9.0,4.0,1.0,7.0,8.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,47.0,55.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,6.0,13.0,0.0,3
22.0,26.0,5.0,3.0,9.0,4.0,1.0,7.0,8.0,3.0,2.0,3.0,2.0,4.0,6.0,4.0,3.0,4.0,47.0,55.0,3.0,13.0,2.0,18.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,3
23.0,31.0,5.0,5.0,7.0,5.0,15.0,17.0,4.0,2.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,47.0,38.0,3.0,13.0,2.0,18.0,0,0,2.0,0.0,8.0,8.0,14.0,2.0,5
23.0,31.0,8.0,5.0,5.0,5.0,15.0,17.0,2.0,2.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,29.0,88.0,0.0,13.0,2.0,18.0,0,0,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,8.0,5.0,5.0,5.0,15.0,17.0,2.0,2.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,30.0,88.0,0.0,13.0,2.0,18.0,0,0,1.0,1.0,8.0,8.0,14.0,1.0,4
20.0,28.0,5.0,5.0,9.0,5.0,2.0,13.0,8.0,2.0,3.0,1.0,33.0,43.0,6.0,4.0,6.0,3.0,47.0,50.0,3.0,13.0,2.0,18.0,0,1,0.0,0.0,4.0,6.0,13.0,0.0,3
18.0,31.0,5.0,5.0,9.0,5.0,15.0,17.0,8.0,2.0,5.0,5.0,45.0,69.0,6.0,6.0,1.0,6.0,47.0,39.0,3.0,13.0,2.0,18.0,1,1,0.0,0.0,4.0,6.0,13.0,0.0,3
23.0,31.0,8.0,5.0,5.0,6.0,15.0,17.0,2.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,28.0,88.0,0.0,13.0,2.0,18.0,0,1,1.0,1.0,8.0,8.0,14.0,1.0,2
23.0,31.0,5.0,5.0,7.0,5.0,15.0,13.0,4.0,4.0,5.0,4.0,45.0,58.0,5.0,5.0,5.0,2.0,47.0,36.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,0.0,3.0,0.0,3
23.0,31.0,7.0,5.0,10.0,6.0,15.0,17.0,6.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,43.0,88.0,1.0,13.0,1.0,6.0,1,1,1.0,1.0,8.0,8.0,14.0,1.0,1
5.0,28.0,1.0,2.0,7.0,6.0,13.0,14.0,4.0,3.0,2.0,4.0,26.0,50.0,6.0,4.0,4.0,5.0,47.0,84.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,5.0,7.0,13.0,0.0,2
23.0,31.0,3.0,2.0,3.0,6.0,11.0,13.0,4.0,3.0,1.0,4.0,0.0,59.0,5.0,5.0,5.0,4.0,47.0,73.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,7.0,14.0,0.0,1
23.0,31.0,3.0,3.0,3.0,6.0,2.0,13.0,4.0,3.0,3.0,4.0,9.0,63.0,5.0,5.0,5.0,3.0,47.0,35.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,5.0,14.0,0.0,1
23.0,31.0,7.0,2.0,10.0,6.0,15.0,17.0,6.0,3.0,5.0,5.0,45.0,69.0,5.0,6.0,5.0,6.0,27.0,88.0,1.0,13.0,0.0,19.0,1,0,1.0,1.0,8.0,8.0,14.0,1.0,3
23.0,31.0,5.0,2.0,3.0,6.0,4.0,14.0,4.0,3.0,4.0,4.0,35.0,35.0,5.0,4.0,5.0,2.0,47.0,75.0,3.0,13.0,2.0,18.0,0,0,0.0,0.0,4.0,6.0,8.0,0.0,1
